antecedents,consequents,support,confidence,lift
1% Lowfat Milk,Banana,0.00114,0.2614678899082568,1.8070902613052515
100 Calorie  Per Bag Popcorn,Banana,0.00103,0.2512195121951219,1.7362603648843868
100% Raw Coconut Water,Bag of Organic Bananas,0.00296,0.252129471890971,2.092360762580672
100% Raw Coconut Water,Organic Hass Avocado,0.00202,0.1720613287904599,2.575382858710672
100% Raw Coconut Water,Organic Strawberries,0.00161,0.1371379897785349,1.6538590180720565
100% Raw Coconut Water,Organic Baby Spinach,0.00146,0.1243611584327086,1.668157725455515
100% Raw Coconut Water,Organic Raspberries,0.00129,0.1098807495741056,2.548845965532489
100% Recycled Paper Towels,Bag of Organic Bananas,0.00203,0.2213740458015267,1.837129010801052
100% Recycled Paper Towels,Organic Hass Avocado,0.00124,0.1352235550708833,2.024001722360176
100% Recycled Paper Towels,Organic Baby Spinach,0.00112,0.1221374045801526,1.6383286999349786
100% Whole Wheat Bread,Banana,0.00505,0.2538964303670186,1.7547614235055538
100% Whole Wheat Bread,Organic Strawberries,0.0026,0.130718954248366,1.576446626246575
2% Reduced Fat DHA Omega-3 Reduced Fat Milk,Banana,0.00105,0.260545905707196,1.800718126388804
2% Reduced Fat Milk,Banana,0.00298,0.263018534863195,1.8178072766825284
2% Reduced Fat Organic Milk,Banana,0.00136,0.2714570858283433,1.8761288674292853
Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs,Organic Strawberries,0.00117,0.3333333333333333,4.019938896928767
Air Chilled Organic Boneless Skinless Chicken Breasts,Bag of Organic Bananas,0.00111,0.2118320610687023,1.757942415507903
Apple Honeycrisp Organic,Bag of Organic Bananas,0.00723,0.2774366845740599,2.302379125095933
Apple Honeycrisp Organic,Organic Hass Avocado,0.00522,0.2003069838833461,2.9981587170086232
Apple Honeycrisp Organic,Organic Strawberries,0.00503,0.1930161166538756,2.3277389852131654
Apple Honeycrisp Organic,Organic Baby Spinach,0.00352,0.1350729086722947,1.811843174678668
Apple Honeycrisp Organic,Organic Raspberries,0.00333,0.1277820414428242,2.96409281936498
Apples,Clementines,0.00115,0.279126213592233,29.505942240193765
Apples,Bag of Organic Bananas,0.00108,0.2621359223300971,2.1754018450630466
Asparagus,Organic Baby Spinach,0.00351,0.1739345887016848,2.333126609009857
Asparagus,Large Lemon,0.00293,0.1451932606541129,3.0741744792316954
Asparagus,Organic Strawberries,0.00278,0.1377601585728444,1.6613622596821565
Asparagus,Organic Avocado,0.00269,0.1333002973240832,2.4454283126781
Asparagus,Organic Hass Avocado,0.00244,0.1209117938553022,1.809785868212877
Asparagus,Limes,0.00211,0.1045589692765114,2.470091407429988
Asparation/Broccolini/Baby Broccoli,Banana,0.00181,0.3528265107212475,2.4384996248617563
Baby Cucumbers,Hass Avocados,0.00103,0.2200854700854701,13.66141962045128
Baby Spinach,Bag of Organic Bananas,0.0014,0.1864181091877496,1.547038250520744
Baby Spinach,Organic Hass Avocado,0.00107,0.1424766977363515,2.13256545032707
Bag of Organic Bananas,Organic Hass Avocado,0.02013,0.1670539419087137,2.500433197256604
Bag of Organic Bananas,Organic Strawberries,0.01899,0.1575933609958506,1.9005470452948705
Bag of Organic Bananas,Organic Baby Spinach,0.01546,0.1282987551867219,1.7209759247045202
Bag of Organic Bananas,Organic Raspberries,0.01301,0.1079668049792531,2.504449199240388
Baked Aged White Cheddar Rice and Corn Puffs,Organic Strawberries,0.00103,0.2524509803921568,3.0445125469386984
Banana,Organic Avocado,0.01544,0.1067108991637293,1.9576389499858624
Bartlett Pears,Banana,0.00407,0.3595406360424028,2.484903144947148
Bartlett Pears,Strawberries,0.00146,0.1289752650176678,2.8970185313941568
Bartlett Pears,Organic Avocado,0.00142,0.1254416961130742,2.3012602479008293
Bartlett Pears,Organic Baby Spinach,0.00133,0.1174911660777385,1.5760049104995106
Bartlett Pears,Large Lemon,0.00124,0.1095406360424028,2.319302054677172
Bartlett Pears,Organic Fuji Apple,0.00121,0.1068904593639576,3.8408357658626513
Berry Medley,Banana,0.00135,0.3221957040572792,2.226800083331808
Bing Cherries,Organic Strawberries,0.00115,0.25,3.014954172696575
Bing Cherries,Banana,0.00114,0.2478260869565217,1.7128072911501948
Black Beans,Banana,0.00106,0.2436781609195402,1.6841396151740975
Blackberries,Raspberries,0.00196,0.26812585499316,15.26043568543882
Blackberries,Strawberries,0.00187,0.2558139534883721,5.746045675839445
Blackberries,Organic Blueberries,0.00106,0.1450068399452804,4.695817355740947
Blueberries,Banana,0.00493,0.2755729457797652,1.904574924181113
Blueberries,Strawberries,0.00288,0.1609837898267188,3.615988091345886
Blueberries,Raspberries,0.00186,0.1039686975964225,5.917398838726386
Boneless Skinless Chicken Breast,Banana,0.00165,0.237410071942446,1.6408187984134774
